subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682424215882,1376,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,1,6,inanimate,single,right,background
SS1682424215882,632,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,2,6,inanimate,single,right,background
SS1682424215882,563,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,3,6,inanimate,single,right,background
SS1682424215882,551,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,4,6,inanimate,single,right,background
SS1682424215882,606,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,5,6,inanimate,single,right,background
SS1682424215882,1173,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_004_left.png,inanimate_single_right,inanimate_single_left,pose,6,6,6,inanimate,single,right,deviant
SS1682424215882,1403,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_010_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,1,7,inanimate,pair,right,background
SS1682424215882,532,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_010_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,2,7,inanimate,pair,right,background
SS1682424215882,939,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_010_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,3,7,inanimate,pair,right,background
SS1682424215882,936,deviant_block,media/padded_stims/inanimate_012_right.png,media/padded_stims/inanimate_010_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,4,7,inanimate,pair,right,deviant
SS1682424215882,1444,background_block,media/padded_stims/animate_011_left.png,null,animate_single_left,null,null,6,1,8,animate,single,left,background
SS1682424215882,698,background_block,media/padded_stims/animate_011_left.png,null,animate_single_left,null,null,6,2,8,animate,single,left,background
