stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,batch_id,stim_sequence
19,4,4,30,4,4,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,12,BBBDBB
145,14,12,37,14,14,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,2,BBBDBB
64,5,3,48,0,0,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,10,BBBDBB
135,5,5,0,9,4,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,13,BBBDBB
38,9,9,3,7,7,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,3,BBBDBB
7,1,1,0,1,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,11,BBBDBB
32,0,0,0,0,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,14,BBBDBB
71,12,9,157,2,2,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,12,BBBDBB
75,10,9,39,4,4,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,4,BBBDBB
22,0,0,0,0,0,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,5,BBBDBB
100,14,2,1,2,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,15,BBBDBB
109,6,5,1,2,2,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,6,BBBDBB
39,3,3,5,2,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,13,BBBDBB
10,0,0,0,0,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,16,BBBDBB
67,4,3,0,2,2,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,7,BBBDBB
23,3,3,2,3,3,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,14,BBBDBB
39,2,1,2,0,0,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,8,BBBDBB
33,33,22,57,2,2,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,15,BBBDBB
32,9,7,1,1,1,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,17,BBBDBB
61,2,2,0,1,1,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,9,BBBDBB
51,4,3,3,1,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,16,BBBDBB
42,3,2,0,7,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,18,BBBDBB
20,1,1,121,49,0,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,10,BBBDBB
52,24,18,25,9,8,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,17,BBBDBB
16,1,1,0,0,0,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,11,BBBDBB
31,1,1,48,0,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,19,BBBDBB
29,4,3,3,3,0,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,0,BBBBBD
50,9,8,4,8,8,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,18,BBBDBB
49,7,4,0,3,3,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,12,BBBDBB
71,18,1,6,1,14,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,1,BBBBBD
57,9,8,0,2,2,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,13,BBBDBB
29,3,2,2,2,2,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,2,BBBBBD
24,1,1,2,1,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,19,BBBDBB
24,2,1,1,1,2,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,3,BBBBBD
10,0,0,9,10,1,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,14,BBBDBB
11,0,0,0,0,52,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,4,BBBBBD
42,28,1,1,1,84,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,5,BBBBBD
17,0,0,0,0,91,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,6,BBBBBD
97,12,11,138,1,76,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,15,BBBDBB
124,19,15,13,12,0,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,0,BBBBBD
19,2,2,3,1,1,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,16,BBBDBB
23,0,0,0,0,0,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,7,BBBBBD
99,15,13,11,10,6,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,1,BBBBBD
41,11,8,148,19,1,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,17,BBBDBB
26,7,6,6,6,316,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,8,BBBBBD
84,3,3,3,3,70,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,2,BBBBBD
36,5,5,0,1,1,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,18,BBBDBB
88,16,6,3,2,48,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,9,BBBBBD
27,0,0,0,0,0,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,3,BBBBBD
121,7,5,3,2,0,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,4,BBBBBD
51,28,23,19,17,274,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,10,BBBBBD
71,16,9,7,6,2,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,11,BBBBBD
174,0,4,0,0,0,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,19,BBBDBB
109,6,3,1,1,9,2.187616112289964,-0.9951160253248968,2.0,1.0,1.0,1.0,1e-06,5,BBBBBD
21,3,2,2,2,2,-1.069406517290047,-1.3462143736821115,-1.0,1.0,1.0,1.0,1e-06,0,BBBBBD
37,9,8,9,9,271,1.3821741640134235,2.9538328984547064,-4.0,1.0,1.0,1.0,1e-06,12,BBBBBD
