subject,trial_number,trial_type,stimuli_sequence,complexity,trial_looking_time
SS1630953471980,1,background,BDBBBB,simple,11674.39999961853
SS1630953471980,2,deviant,BDBBBB,simple,11962.099999904633
SS1630953471980,3,background,BDBBBB,simple,4282.299999713898
SS1630953471980,4,background,BDBBBB,simple,3485.900000095367
SS1630953471980,5,background,BDBBBB,simple,3130.7000002861023
SS1630953471980,6,background,BDBBBB,simple,2137.800000190735
SS1630953471980,1,background,BDBBBB,complex,14709.5
SS1630953471980,2,deviant,BDBBBB,complex,3261.800000190735
SS1630953471980,3,background,BDBBBB,complex,1761.1000003814695
SS1630953471980,4,background,BDBBBB,complex,3793.900000095367
SS1630953471980,5,background,BDBBBB,complex,5887.60000038147
SS1630953471980,6,background,BDBBBB,complex,1932.6999998092651
SS1630953471980,1,background,BBBDBB,complex,9334.400000095367
SS1630953471980,2,background,BBBDBB,complex,7500.099999904633
SS1630953471980,3,background,BBBDBB,complex,2122.400000095367
SS1630953471980,4,deviant,BBBDBB,complex,5357.099999904633
SS1630953471980,5,background,BBBDBB,complex,4548.299999713898
SS1630953471980,6,background,BBBDBB,complex,5124.199999809265
SS1630953471980,1,background,BBBBBD,simple,3030.1000003814697
SS1630953471980,2,background,BBBBBD,simple,4541.599999904633
SS1630953471980,3,background,BBBBBD,simple,4397.300000190735
SS1630953471980,4,background,BBBBBD,simple,3400.599999904633
SS1630953471980,5,background,BBBBBD,simple,13336.099999904633
SS1630953471980,6,deviant,BBBBBD,simple,3644.400000095367
SS1630953508569,1,background,BBBBBB,complex,9349.700000047684
SS1630953508569,2,background,BBBBBB,complex,6510.400000095367
SS1630953508569,3,background,BBBBBB,complex,5839.799999952316
SS1630953508569,4,background,BBBBBB,complex,6332.099999904633
SS1630953508569,5,background,BBBBBB,complex,4853.599999904633
SS1630953508569,6,background,BBBBBB,complex,8168.299999952316
SS1630953508569,1,background,BBBBBD,complex,6898
SS1630953508569,2,background,BBBBBD,complex,3818.299999952316
SS1630953508569,3,background,BBBBBD,complex,5196
SS1630953508569,4,background,BBBBBD,complex,4073.900000095367
SS1630953508569,5,background,BBBBBD,complex,3694
SS1630953508569,6,deviant,BBBBBD,complex,7007.899999856949
SS1630953508569,1,background,BBBDBB,complex,6143.399999856949
SS1630953508569,2,background,BBBDBB,complex,4731.799999952316
SS1630953508569,3,background,BBBDBB,complex,4196.299999952316
SS1630953508569,4,deviant,BBBDBB,complex,7625.200000047684
SS1630953508569,5,background,BBBDBB,complex,3112.2000000476837
SS1630953508569,6,background,BBBDBB,complex,3189.2000000476837
SS1630953508569,1,background,BDBBBB,complex,5432.399999856949
SS1630953508569,2,deviant,BDBBBB,complex,4762.100000143051
SS1630953508569,3,background,BDBBBB,complex,3986.600000143051
SS1630953508569,4,background,BDBBBB,complex,3461.2999999523163
SS1630953508569,5,background,BDBBBB,complex,3924.299999952316
SS1630953508569,6,background,BDBBBB,complex,2241.100000143051
SS1630953508569,1,background,BBBBBB,simple,3584.400000095367
SS1630953508569,2,background,BBBBBB,simple,3456.5
SS1630953508569,3,background,BBBBBB,simple,2064.7999999523163
SS1630953508569,4,background,BBBBBB,simple,1186.7999999523165
SS1630953508569,5,background,BBBBBB,simple,1616.6999998092651
SS1630953508569,6,background,BBBBBB,simple,1593.2999999523165
SS1630953508569,1,background,BDBBBB,simple,3306.2000000476837
SS1630953508569,2,deviant,BDBBBB,simple,3425
SS1630953508569,3,background,BDBBBB,simple,2912.2999999523163
SS1630953508569,4,background,BDBBBB,simple,2009.5999999046328
SS1630953508569,5,background,BDBBBB,simple,1809
SS1630953508569,6,background,BDBBBB,simple,1728.9000000953674
SS1630953508569,1,background,BBBDBB,simple,5599.899999856949
SS1630953508569,2,background,BBBDBB,simple,1549.4000000953674
SS1630953508569,3,background,BBBDBB,simple,1218.0999999046326
SS1630953508569,4,deviant,BBBDBB,simple,3258.400000095367
SS1630953508569,5,background,BBBDBB,simple,2702.7000000476837
SS1630953508569,6,background,BBBDBB,simple,3696.5
SS1630953508569,1,background,BBBBBD,simple,3611
SS1630953508569,2,background,BBBBBD,simple,1776.5999999046326
SS1630953508569,3,background,BBBBBD,simple,1292.5
SS1630953508569,4,background,BBBBBD,simple,1562.1000001430511
SS1630953508569,5,background,BBBBBD,simple,1493.9000000953674
SS1630953508569,6,deviant,BBBBBD,simple,3912.900000095367
SS1630953874745,1,background,BBBBBD,complex,12804.100000143051
SS1630953874745,2,background,BBBBBD,complex,9339.299999952316
SS1630953874745,3,background,BBBBBD,complex,4503.5
SS1630953874745,4,background,BBBBBD,complex,7661.400000095367
SS1630953874745,5,background,BBBBBD,complex,8951.899999856949
SS1630953874745,2,deviant,BDBBBB,complex,5707.5
SS1630953874745,3,background,BDBBBB,complex,7023.900000095367
SS1630953874745,4,background,BDBBBB,complex,2148
SS1630953874745,5,background,BDBBBB,complex,1045.9000000953674
SS1630953874745,6,background,BDBBBB,complex,1425.0999999046326
SS1630953874745,1,background,BDBBBB,simple,13126.100000143051
