stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
55,10,9,8,7,6,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,6,BBBBBB
22,0,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,7,BDBBBB
94,159,99,14,13,12,2.996618881400051,-1.1985637263143725,-1.0,1.0,35.0,10.0,0.0001,0.0001,0,BDBBBB
70,2,2,2,2,2,-1.2273365463986177,-2.560434976848883,-1.0,1.0,10.0,1.0,0.0001,1e-05,0,BBBBBB
17,6,4,4,4,4,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,4,BBBBBB
9,14,0,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,8,BDBBBB
279,7,6,6,5,5,-0.4121699351794485,-0.7063147957472401,-1.0,1.0,35.0,10.0,0.0001,1e-05,3,BBBBBB
19,1,3,2,2,2,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,8,BDBBBB
11,32,0,11,1,1,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,9,BDBBBB
86,13,11,9,8,7,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,5,BBBBBB
57,44,24,1,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,8,BDBBBB
20,59,0,15,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,9,BDBBBB
61,9,1,43,2,1,2.996618881400051,-1.1985637263143725,-1.0,1.0,35.0,10.0,0.0001,0.0001,1,BDBBBB
172,14,3,3,3,3,-1.8032578941548507,0.0087146688109317,-1.0,1.0,1.0,35.0,0.001,1e-05,2,BBBBBB
69,7,3,3,3,3,2.524510947382109,1.898190003720358,-1.0,1.0,35.0,10.0,0.0001,1e-06,3,BBBBBB
13,44,1,1,1,1,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,10,BDBBBB
114,12,9,7,5,4,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,7,BBBBBB
8,0,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,10,BDBBBB
17,1,1,1,1,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,11,BDBBBB
26,0,0,0,0,0,-0.4121699351794485,-0.7063147957472401,-1.0,1.0,35.0,10.0,0.0001,1e-05,4,BBBBBB
6,77,10,17,17,15,2.996618881400051,-1.1985637263143725,-1.0,1.0,35.0,10.0,0.0001,0.0001,2,BDBBBB
68,39,1,1,1,68,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,9,BDBBBB
13,39,109,3,3,2,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,11,BDBBBB
39,13,10,8,5,4,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,6,BBBBBB
8,43,7,0,0,0,2.996618881400051,-1.1985637263143725,-1.0,1.0,35.0,10.0,0.0001,0.0001,3,BDBBBB
83,32,25,19,16,13,-1.8032578941548507,0.0087146688109317,-1.0,1.0,1.0,35.0,0.001,1e-05,3,BBBBBB
6,3,0,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,12,BDBBBB
106,16,12,4,1,0,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,5,BBBBBB
19,3,0,0,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,10,BDBBBB
23,1,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,12,BDBBBB
68,14,11,9,8,8,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,8,BBBBBB
14,9,1,2,2,2,2.996618881400051,-1.1985637263143725,-1.0,1.0,35.0,10.0,0.0001,0.0001,4,BDBBBB
31,2,1,1,0,1,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,7,BBBBBB
11,63,51,4,3,2,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,13,BDBBBB
24,7,1,1,3,2,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,13,BDBBBB
127,830,1,1,1,0,2.524510947382109,1.898190003720358,-1.0,1.0,35.0,10.0,0.0001,1e-06,4,BBBBBB
21,1,17,15,13,12,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,11,BDBBBB
57,12,12,12,12,12,2.996618881400051,-1.8032578941548507,-1.0,1.0,10.0,1.0,0.001,1e-06,1,BBBBBB
35,26,1,1,1,1,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,14,BDBBBB
