,stim_squence,violation_type,stimulus_id,b_val,d_val,batch_id,j_i,EIG,Look_away,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,weig,n_sample
114,BBBBBB,animacy,5,-0.907,0.212,1293.7684478371502,9.531806615776082,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254,5.536895674300254
115,BBBBBB,animacy,5,-0.58,0.804,1296.0315457413249,9.49211356466877,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606,5.157728706624606
116,BBBBBB,animacy,5,-0.355,1.32,1327.0426136363637,9.548295454545455,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182,5.400568181818182
117,BBBBBB,animacy,5,0.332,-0.658,1245.0896358543419,9.46218487394958,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905,4.904761904761905
118,BBBBBB,animacy,5,0.53,-1.25,1432.5345345345345,9.477477477477477,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006,5.6006006006006
119,BBBBBB,animacy,5,0.625,-1.08,1285.0530726256984,9.519553072625698,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815,5.150837988826815
120,BBBBBD,animacy,0,-1.58,-0.0734,1252.7222222222222,9.5,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555,119.98055555555555
121,BBBBBD,animacy,0,-1.55,0.996,1071.3333333333333,9.5,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556,112.63055555555556
122,BBBBBD,animacy,0,-1.55,1.91,1432.9444444444443,9.5,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111,106.5111111111111
123,BBBBBD,animacy,0,-1.39,1.03,1300.05,9.5,122.9225,122.9225,122.9225,122.9225,122.9225,122.9225,122.9225,122.9225,122.9225
124,BBBBBD,animacy,0,-0.858,0.416,1559.1666666666667,9.5,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667,115.91666666666667
125,BBBBBD,animacy,0,0.677,-0.658,1633.875,9.5,111.53125,111.53125,111.53125,111.53125,111.53125,111.53125,111.53125,111.53125,111.53125
